-128	34925.5
-124	90803.5
-120	39303.5
-116	102863
-112	43408.7
-108	112948
-104	45615.5
-100	125785
-96	52113.9
-92	147754
-88	65942.2
-84	173268
-80	79059.2
-76	202335
-72	88651.2
-68	218796
-64	89898.5
-60	234850
-56	42030.9
-52	181137
-48	24163.8
-44	331452
-40	254560
-36	599752
-32	542432
-28	915928
-24	612199
-20	1.02501E+06
-16	870915
-12	952499
-8	-1.13836E+06
-4	-3.10009E+06
0	-4.65682E+06
4	-2.97581E+06
8	-1.48953E+06
12	1.17484E+06
16	1.66226E+06
20	2.90271E+06
24	3.044E+06
28	1.65503E+06
32	1.94921E+06
36	-477746
40	-785499
44	-1.23319E+06
48	-545030
52	-671983
56	-405786
60	-386062
64	-224104
68	-431664
72	-344091
76	-340088
80	-218828
84	-290502
88	-227891
92	-254605
96	-177596
100	-211387
104	-150714
108	-168823
112	-121542
116	-147845
120	-109261
124	-127547
128	9.88131E-324
