-128	159639
-124	330639
-120	184371
-116	344822
-112	221050
-108	377542
-104	284010
-100	394941
-96	339056
-92	430601
-88	420188
-84	398235
-80	365487
-76	396250
-72	531211
-68	737477
-64	731366
-60	814250
-56	740553
-52	1.20535E+06
-48	614124
-44	635933
-40	-161958
-36	1.70785E+06
-32	3.14039E+06
-28	5.34555E+06
-24	3.10542E+06
-20	2.08754E+06
-16	-470605
-12	-1.89225E+06
-8	-6.78467E+06
-4	-1.03048E+07
0	-1.36079E+07
4	-1.30881E+07
8	-8.42652E+06
12	-1.7536E+06
16	831951
20	-583395
24	1.07171E+06
28	2.53448E+06
32	1.8408E+06
36	878949
40	-620484
44	-1.24187E+06
48	-1.00993E+06
52	-411488
56	-423840
60	-397944
64	-9896.15
68	-251252
72	35052.9
76	-333887
80	-141218
84	-430175
88	-71153.1
92	-328872
96	-98618.3
100	-255205
104	-119926
108	-211491
112	-130276
116	-185093
120	-153872
124	-155717
128	9.88131E-324
